LC50,MLOGP
3.42,2.102
3.36,2.102
4.565,2.052
2.474,1.7
4.798,2.37
5.007,1.748
4.369,1.996
4.938,3.854
3.397,2.604
1.969,1.643
2.551,1.373
3.075,1.587
4.263,3.478
5.05,2.081
4.61,3.291
4.469,3.291
4.559,2.529
2.12,0.562
2.263,1.294
4.963,2.492
4.919,0.575
3.289,1.94
3.379,1.75
4.021,1.61
4.77,2.217
4.41,2.729
6.148,1.737
4.175,1.61
5.767,4.206
5.677,2.64
3.151,-0.294
5.318,2.223
3.007,0.883
3.742,2.54
5.341,1.748
5.466,0.626
1.999,1.064
4.247,3.291
3.874,1.897
2.983,1.398
6.483,4.453
6.064,2.033
3.884,-0.241
3.66,1.569
3.423,0.757
0.242,-0.534
3.799,1.701
5.412,5.258
5.758,5.741
3.666,1.395
3.751,2.193
3.799,1.701
3.21,2.193
6.195,2.233
6.551,4.092
5.352,3.617
2.264,1.209
5.385,4.053
4.762,3.795
5.541,4.639
3.025,1.539
3.651,2.193
3.569,2.42
3.22,2.193
4.286,2.461
2.745,1.994
4.423,1.064
2.369,1.442
3.614,2.352
3.727,1.758
5.741,4.506
6.384,4.804
2.487,1.209
3.689,-1.358
3.806,2.242
1.462,0.8
5.538,2.904
2.853,1.94
5.005,2.239
3.483,1.701
3.991,2.239
3.812,3.112
4.664,2.576
6.72,4.594
6.006,4.926
5.591,4.19
5.083,2.239
4.33,1.395
4.947,2.65
3.917,1.239
3.661,1.06
3.594,2.461
4.393,2.573
4.856,1.748
3.846,1.515
5.194,4.234
4.63,3.11
3.91,2.239
3.932,1.395
5.146,2.239
3.391,1.61
3.882,1.968
3.787,1.61
3.097,1.229
3.078,1.506
2.445,-0.317
4.796,1.246
1.897,-0.41
4.906,3.237
4.473,2.048
3.459,3.315
2.126,1.06
1.68,-0.521
6.652,3.562
3.131,0.943
4.62,2.729
3.03,0.204
2.072,0.8
3.746,2.957
6.087,3.426
5.086,3.451
4.759,2.604
2.412,1.141
4.446,2.222
3.499,0.996
3.327,2.538
5.361,4.634
4.737,3.314
5.308,2.269
5.001,3.314
4.672,2.212
4.181,1.748
0.534,-0.172
4.54,2.278
4.093,2.51
6.077,3.318
4.132,1.272
3.133,1.237
5.251,3.377
4.399,2.463
4.002,2.688
3.757,1.442
2.569,0.68
4.828,4.179
2.319,0.501
4.706,3.474
4.632,2.974
0.778,0.347
0.855,0.202
0.361,-0.317
5.242,3.291
3.487,-0.386
0.841,-0.273
2.725,0.18
8.604,4.279
1.885,0.967
2.647,2.242
4.396,2.274
2.601,0.289
4.51,3.661
4.703,2.894
1.777,0.087
2.458,0.087
2.618,1.239
2.015,1.271
5.842,3.987
7.287,4.804
6.665,4.235
3.009,1.807
3.513,1.701
3.393,2.357
9.354,4.246
4.208,1.748
3.976,2.289
4.832,1.21
4.404,3.076
1.121,0.347
1.589,0.8
2.217,1.209
3.502,2.255
3.402,2.226
4.004,1.95
6.04,3.118
3.561,2.213
7.607,4.268
4.862,5.934
1.81,-0.022
5.192,3.909
3.046,1.548
5.912,4.098
4.593,1.02
6.634,4.907
4.804,1.795
2.3,-0.172
1.399,-0.317
3.076,-0.317
2.72,-0.564
2.856,1.672
3.272,0.202
2.375,-2.884
1.063,0.8
2.925,0.58
3.061,1.442
2.693,0.996
3.828,-0.792
4.44,2.957
1.911,0.996
7.017,5.124
4.184,2.459
3.246,1.971
3.841,0.655
4.465,3.038
3.782,2.502
2.975,1.074
7.591,3.558
0.89,-0.741
3.407,3.267
2.182,1.587
1.906,1.442
4.422,2.558
3.693,3.157
5.689,3.374
2.686,1.737
4.691,-0.45
4.551,2.437
2.737,1.947
2.953,1.974
1.691,0.8
2.928,2.226
1.817,-0.534
1.305,0.8
1.352,0.655
1.474,-0.534
6.16,3.089
3.213,2.226
3.47,2.081
2.766,-0.38
2.269,0.133
3.916,2.604
4.577,2.998
5.44,4.804
3.715,4.878
5.95,3.762
4.691,3.306
5.264,4.436
4.81,3.105
3.416,1.622
4.611,3.563
2.495,0.888
6.923,3.903
5.372,4.658
3.845,-0.406
4.384,0.052
5.485,2.129
3.971,3.358
3.92,2.899
4.984,3.958
4.171,2.152
7.849,1.936
4.578,2.782
4.377,2.59
6.6,4.633
4.116,2.577
5.49,3.618
5.367,3.618
4.711,2.209
5.224,4.091
4.284,3.018
5.292,2.859
2.758,0.43
2.689,-0.816
4.732,3.055
4.89,4.063
6.416,3.659
0.6,-2.089
2.501,-0.439
4.421,2.042
4.988,2.956
4.499,3.314
2.537,1.237
3.568,2.241
3.731,2.509
2.939,1.348
6.236,2.702
6.298,4.412
3.522,1.783
4.73,3.314
3.789,1.701
4.672,2.813
4.75,2.37
4.725,1.667
4.199,3.677
4.849,3.945
4.538,2.637
4.507,3.127
5.518,3.157
4.668,3.546
4.322,3.386
3.448,2.066
2.904,1.701
3.861,2.502
3.959,2.813
3.53,2.224
5.107,3.586
4.809,3.876
4.44,3.127
2.838,1.587
3.411,1.335
3.288,0.655
4.247,2.351
5.169,1.756
2.895,0.586
5.348,3.617
4.208,2.991
3.984,2.186
3.665,1.783
4.561,2.575
4.628,1.132
2.839,2.354
4.262,2.659
4.141,2.927
5.354,2.723
3.365,3.315
4.023,1.099
3.325,1.501
3.811,2.942
3.897,1.859
4.23,3.21
4.194,3.478
4.353,2.127
3.753,3.045
3.12,1.859
3.995,2.127
4.192,3.259
3.92,2.193
4.54,3.795
4.743,3.795
4.332,2.729
1.935,1.246
4.989,2.729
5.815,4.634
5.192,3.314
6.644,3.887
3.698,3.345
5.105,1.522
4.05,1.533
3.487,1.587
3.937,1.064
3.408,2.604
1.748,1.064
2.014,0.586
2.859,1.393
4.084,1.395
5.939,3.842
3.835,2.11
3.66,-0.145
3.46,0.736
3.769,2.621
4.463,2.813
4.279,3.259
2.87,2.102
3.615,2.102
3.022,1.887
3.575,1.391
2.55,1.49
3.66,2.241
5.303,2.005
3.242,1.701
3.345,1.701
4.416,1.61
4.239,1.886
4.638,3.267
3.415,2.51
3.441,2.241
4.59,0.43
2.661,-0.386
4.282,1.024
3.919,2.502
3.35,1.119
5.749,4.449
8.916,4.832
3.13,1.94
6.683,3.399
8.433,4.452
3.529,2.791
6.093,3.909
2.494,1.442
3.017,-1.174
6.238,1.655
6.183,3.247
3.152,1.798
6.254,1.317
2.964,2.288
4.803,3.148
3.109,0.736
4.04,3.983
4.818,2.918
5.317,0.906
8.201,4.754
